episode_in_level,episode_global,reward
1,201,332.6868203021586
2,202,296.2643836867064
3,203,389.53877355903387
4,204,195.80753101035953
5,205,43.81492096558213
6,206,70.43133503594436
7,207,402.82706670090556
8,208,82.00496444967575
9,209,423.20908402465284
10,210,484.7189028188586
11,211,281.8744360115379
12,212,375.10833678022027
13,213,433.72443734202534
14,214,250.53016599430703
15,215,358.9086157656275
16,216,403.43126074038446
17,217,223.56531975930557
18,218,428.89188625104725
19,219,399.79602189641446
20,220,280.68412245437503
21,221,412.0819916483015
22,222,436.56578202545643
23,223,313.73384092445485
24,224,96.6035018293187
25,225,407.98721643094905
26,226,235.32818904612213
27,227,207.19051725883037
28,228,221.8368768299697
29,229,22.688960640400182
30,230,423.86194335855544
31,231,407.94551223516464
32,232,-208.6367094628513
33,233,282.9510461241007
34,234,363.9694459326565
35,235,379.04505177703686
36,236,340.0096144396812
37,237,268.64992947503924
38,238,308.97924793866696
39,239,356.12305512372404
40,240,466.0665835160762
41,241,249.7754569184035
42,242,283.0539647080004
43,243,371.89922159479465
44,244,367.01423495076597
45,245,414.35675296373665
46,246,369.8714532330632
47,247,447.55003090621904
48,248,39.67174392519519
49,249,227.50829302007332
50,250,-29.369742599781603
