episode_in_level,episode_global,reward
1,1,235.1460542678833
2,2,230.0024938583374
3,3,235.04732513427734
4,4,238.09065556526184
5,5,234.30718517303467
6,6,232.866493165493
7,7,227.30029845237732
8,8,228.04222589731216
9,9,231.2213683128357
10,10,228.14648818969727
11,11,229.10919427871704
12,12,231.86739301681519
13,13,234.6529450416565
14,14,231.68748438358307
15,15,232.75013875961304
16,16,230.1931586265564
17,17,232.28635692596436
18,18,244.0455926656723
19,19,225.0860459804535
20,20,239.52025938034058
21,21,228.30136013031006
22,22,233.05050897598267
23,23,231.6901558637619
24,24,234.8895310163498
25,25,231.91045665740967
26,26,231.64162231236696
27,27,235.1427183151245
28,28,230.88563776016235
29,29,229.732346534729
30,30,231.70589065551758
31,31,232.5903959274292
32,32,235.74432182312012
33,33,232.4110813140869
34,34,234.4632158279419
35,35,239.91309213638306
36,36,230.0185375213623
37,37,236.24851087108254
38,38,232.18458670424297
39,39,235.19618463516235
40,40,228.37845945358276
41,41,229.64453983306885
42,42,230.0821214914322
43,43,237.4110543532297
44,44,237.8644192814827
45,45,232.34670531749725
46,46,231.86451482772827
47,47,226.19628310203552
48,48,226.96369886398315
49,49,232.49983644485474
50,50,233.84668679907918
51,51,236.2147397994995
52,52,227.88216757774353
53,53,228.2744164466858
54,54,239.2845155596733
55,55,225.57415437698364
56,56,228.28552365791984
57,57,229.14876127243042
58,58,244.102510496974
59,59,235.584819316864
60,60,238.271160364151
61,61,230.16392374038696
62,62,239.1918748319149
63,63,232.40608364343643
64,64,226.54810965061188
65,65,238.28304624557495
66,66,244.05649662017822
67,67,229.66045606136322
68,68,231.49211406707764
69,69,232.797278881073
70,70,242.08975249528885
71,71,239.68950444459915
72,72,241.53584218025208
73,73,242.30907517671585
74,74,226.16156816482544
75,75,231.26799297332764
76,76,237.7211208343506
77,77,231.44956934452057
78,78,238.46789675951004
79,79,230.84379767999053
80,80,242.47801733016968
81,81,229.90284317731857
82,82,238.21123695373535
83,83,227.2292640209198
84,84,240.00292958691716
85,85,236.96032333374023
86,86,230.77770180255175
87,87,225.38498347997665
88,88,224.42202925682068
89,89,232.46721744537354
90,90,232.4373760074377
91,91,238.25883078575134
92,92,242.1896152496338
93,93,226.61840012669563
94,94,226.20392227172852
95,95,233.33345347642899
96,96,235.53858906030655
97,97,237.2916203737259
98,98,226.62025225162506
99,99,232.7971887588501
100,100,242.29642283916473
101,101,240.8987522125244
102,102,236.56538927415386
103,103,228.2272845506668
104,104,225.47550058364868
105,105,225.52314621210098
106,106,229.687264919281
107,107,238.580053627491
108,108,234.7652283012867
109,109,233.1974744796753
110,110,231.4091550707817
111,111,231.1833267211914
112,112,244.3152759373188
113,113,238.78211677074432
114,114,238.81765815615654
115,115,251.5335351228714
116,116,234.54362104088068
117,117,238.01350551843643
118,118,229.51950645446777
119,119,241.93825244903564
120,120,238.23099660873413
121,121,234.95694232732058
122,122,230.6972827911377
123,123,228.7125644683838
124,124,235.36324501037598
125,125,239.12815475463867
126,126,228.10182881355286
127,127,232.0995985865593
128,128,244.7651505470276
129,129,229.12710285186768
130,130,236.38102436065674
131,131,226.69712221622467
132,132,233.85628509521484
133,133,240.4640531539917
134,134,225.2783236503601
135,135,229.48093271255493
136,136,236.45962670445442
137,137,233.44179770350456
138,138,231.63029772415757
139,139,233.0956915616989
140,140,236.47051329910755
141,141,225.4924259185791
142,142,225.44859525561333
143,143,226.37705659866333
144,144,226.4606385678053
145,145,236.52915239334106
146,146,238.25339611433446
147,147,237.50838596001267
148,148,236.29434823989868
149,149,233.03460323810577
150,150,225.1123093366623
