episode_in_level,episode_global,reward
1,301,299.83436604216695
2,302,275.7443681359291
3,303,321.510851085186
4,304,321.1340814232826
5,305,337.09665870666504
6,306,279.7627274990082
7,307,338.00896940845996
8,308,336.24389466643333
9,309,285.62895853072405
10,310,310.4040056914091
11,311,336.4902807790786
12,312,298.18541461229324
13,313,329.0473833680153
14,314,285.74673806130886
15,315,345.52568162977695
16,316,295.6405961215496
17,317,338.5326680922881
18,318,318.6677111685276
19,319,343.65019181370735
20,320,306.83244169689715
21,321,300.9130641222
22,322,355.85190430283546
23,323,343.9760409593582
24,324,327.0455813296139
25,325,290.04379241447896
26,326,302.92360973358154
27,327,286.55989331007004
28,328,314.67094655148685
29,329,297.82860791683197
30,330,313.48701041936874
31,331,286.0971083641052
32,332,312.76572531461716
33,333,293.1561528220773
34,334,294.69343316555023
35,335,315.1901771426201
36,336,334.2337535619736
37,337,338.97750958427787
38,338,313.7814010977745
39,339,343.57014340069145
40,340,333.4330189228058
41,341,334.5992136374116
42,342,308.2534907758236
43,343,329.73340022563934
44,344,360.0314654111862
45,345,378.3897017017007
46,346,381.83845284581184
47,347,377.08532387018204
48,348,360.1333244293928
49,349,327.20978980511427
50,350,357.89046892896295
51,351,293.26279440894723
52,352,319.8577185869217
53,353,317.2407046854496
54,354,295.438845962286
55,355,296.8885530233383
56,356,326.08918073400855
57,357,270.6629910469055
58,358,352.90727055072784
59,359,370.9991179704666
60,360,284.30669343471527
61,361,386.1865636408329
62,362,337.0288097560406
63,363,329.48913718760014
64,364,311.6249980330467
65,365,304.5428352355957
66,366,307.6541134901345
67,367,277.677148014307
68,368,318.9523820709437
69,369,343.92275677621365
70,370,295.68974566459656
71,371,335.04339772462845
72,372,319.7175210863352
73,373,289.08388274908066
74,374,322.2640057709068
75,375,303.58405657997355
76,376,343.69967094808817
77,377,333.9530411362648
78,378,298.26634788513184
79,379,312.56476056575775
80,380,334.56678345799446
81,381,342.78821834921837
82,382,373.00443708896637
83,383,326.58214670419693
84,384,334.27473932504654
85,385,327.051869943738
86,386,332.536971911788
87,387,309.7828226685524
88,388,321.7377506196499
89,389,350.9669667482376
90,390,321.05450788140297
91,391,334.6688343882561
92,392,361.95479291677475
93,393,313.02145624160767
94,394,349.0668627023697
95,395,310.76328706741333
96,396,333.4752813577652
97,397,344.09968024492264
98,398,312.1080365180969
99,399,312.06291139125824
100,400,299.90229910612106
101,401,318.60833667218685
102,402,315.85668946802616
103,403,340.49507331848145
104,404,318.6998211145401
105,405,295.23767626285553
106,406,334.0330962538719
107,407,309.4533620774746
108,408,314.96531562693417
109,409,284.30170860886574
110,410,333.4796348810196
111,411,303.66909086704254
112,412,298.7978590130806
113,413,323.98098023608327
114,414,297.5455220937729
115,415,318.55909994244576
116,416,318.4326556324959
117,417,335.27464850246906
118,418,296.3540324345231
119,419,332.84353744983673
120,420,298.0556915998459
121,421,317.78173887729645
122,422,311.24447286129
123,423,304.2824558019638
124,424,297.5616452097893
125,425,308.0713669061661
126,426,302.69967126846313
127,427,343.40866351127625
128,428,272.9356726408005
129,429,329.0378566086292
130,430,314.3358009457588
131,431,281.0129609107971
132,432,315.640765145421
133,433,322.8743646144867
134,434,338.289666891098
135,435,332.13388422876596
136,436,316.35388016700745
137,437,342.7811292409897
138,438,317.36853082478046
139,439,274.5698161125183
140,440,271.6932497024536
141,441,313.7789976596832
142,442,378.64499521255493
143,443,327.2995082139969
144,444,340.74484503269196
145,445,294.6127872467041
146,446,340.7185528874397
147,447,284.5023756660521
148,448,350.01806485652924
149,449,317.17425310611725
150,450,316.2549033164978
