episode_in_level,episode_global,reward
1,51,205.7333399844356
2,52,-218.90138503874186
3,53,-174.41802536166506
4,54,212.34060344658792
5,55,198.36525970394723
6,56,238.9993896158412
7,57,-155.66099651763216
8,58,-143.05826356024772
9,59,201.49446457903832
10,60,176.58346272690687
11,61,205.31617560703307
12,62,243.5962136790622
13,63,189.84192525979597
14,64,218.74579018959776
15,65,225.79872933588922
16,66,211.69802121259272
17,67,190.53742956346832
18,68,-294.7344533847645
19,69,223.90258442237973
20,70,214.30405916669406
21,71,227.60027623921633
22,72,236.66422958485782
23,73,240.66958405822515
24,74,217.5010815449059
25,75,221.2791632451117
26,76,220.42912646010518
27,77,213.93024297058582
28,78,221.38250550813973
29,79,208.5073278695345
30,80,254.38851818069816
31,81,209.55550671182573
32,82,-75.66375140566379
33,83,202.9026257264777
34,84,213.12654346961062
35,85,228.37184586096555
36,86,231.64922852395102
37,87,213.58316108875442
38,88,241.11486951680854
39,89,232.13401367189363
40,90,230.5584414228797
41,91,243.64861605223268
42,92,249.7918213531375
43,93,242.71805301401764
44,94,240.17969376593828
45,95,219.01877832692116
46,96,218.84763035923243
47,97,226.06428764318116
48,98,215.54708404187113
49,99,237.65673221228644
50,100,231.56454078655224
