episode,reward
1,-51.43624754995108
2,-47.570127576589584
3,-54.873589500784874
4,-51.082109712064266
5,-53.72397266328335
6,-60.353347934782505
7,-53.082170225679874
8,-51.144013933837414
9,-56.474577367305756
10,-52.118969924747944
11,-51.68114273995161
12,-52.17933005094528
13,-52.136028207838535
14,-51.0450334250927
15,-51.60974007099867
16,-40.99544139095815
17,-51.6329782307148
18,-49.804465018212795
19,-54.702770099043846
20,-50.733316637575626
21,-52.395114712417126
22,-51.067710630595684
23,-51.10405730456114
24,-50.43056075274944
25,-50.624139338731766
26,-52.807927422225475
27,-50.19771406799555
28,-52.24290227890015
29,-50.81639439612627
30,-44.62369107082486
31,-51.074667096138
32,-48.74088803678751
33,-51.626015946269035
34,-50.57092023640871
35,-49.41770197451115
36,-49.84271725267172
37,-48.24688857793808
38,-52.2410733550787
39,-48.29472912847996
40,-46.48093615472317
41,-44.56946813315153
42,-45.64988898485899
43,-48.083758786320686
44,-47.400817565619946
45,-47.5834084302187
46,-47.388760924339294
47,-45.46831280738115
48,-43.842591650784016
49,-46.37043623626232
50,-55.136124067008495
51,-45.414684645831585
52,-45.12712135910988
53,-47.55741389095783
54,-46.05119263380766
55,-41.61820721626282
56,-45.62702815234661
57,-44.45701061934233
58,-44.8548624292016
59,-48.58330398052931
60,-41.76559737324715
61,-44.96291942894459
62,-41.11871927976608
63,-46.22300190478563
64,-42.19322153925896
65,-47.558870792388916
66,-45.87186732888222
67,-48.691715478897095
68,-43.295091070234776
69,-45.29022578150034
70,-41.675401881337166
71,-44.06073562800884
72,-44.39222000539303
73,-42.99068674445152
74,-43.195392303168774
75,-43.60126832872629
76,-43.309892043471336
77,-45.28173039853573
78,-43.178954616189
79,-39.800675339996815
80,-43.794453993439674
81,-42.04086693376303
82,-42.82268416881561
83,-42.83156353980303
84,-41.74394529312849
85,-42.273538045585155
86,-49.41000461578369
87,-41.937223717570305
88,-35.273685082793236
89,-50.33816162496805
90,-42.37166329473257
91,-34.25104914046824
92,-41.138990476727486
93,-43.02180588245392
94,-45.82764548808336
95,-42.95677983015776
96,-43.921308763325214
97,-41.06686455011368
98,-41.880332849919796
99,-39.3378032669425
100,-41.19320548325777
101,-35.194881074130535
102,-41.98061067610979
103,-46.9949000030756
104,-41.99904328584671
105,-38.321726091206074
106,-40.63432415574789
107,-40.8135095462203
108,-43.067982852458954
109,-41.09779065102339
110,-39.415733121335506
111,-40.39783854782581
112,-39.64687456190586
113,-37.548831313848495
114,-39.16242257505655
115,-38.174706514924765
116,-41.06488046050072
117,-41.653505854308605
118,-39.56075770407915
119,-40.358711659908295
120,-40.72143233194947
121,-39.29018133878708
122,-41.43549036979675
123,-41.48620168119669
124,-41.2196079492569
125,-45.74909318238497
126,-38.946555849164724
127,-43.35627257823944
128,-39.61295676231384
129,-34.66711822152138
130,-40.85652569681406
131,-39.57844369858503
132,-38.35585632175207
133,-39.94726946949959
134,-40.435410007834435
135,-39.81219955533743
136,-39.968100145459175
137,-39.651918701827526
138,-39.29902772605419
139,-41.977408185601234
140,-41.47227804362774
141,-40.31609585881233
142,-39.53753687441349
143,-39.24425762146711
144,-41.40865630656481
145,-39.32363584637642
146,-39.998348735272884
147,-38.8948018848896
148,-38.13495150208473
149,-39.20321172475815
150,-38.84668202698231
151,-37.723956145346165
152,-38.20062828063965
153,-38.056841127574444
154,-39.93213629722595
155,-38.54743670672178
156,-37.22263988107443
157,-37.75529234856367
158,-36.210325077176094
159,-40.81402958929539
160,-38.12680123746395
161,-39.00921016186476
162,-38.12495122849941
163,-37.56925052404404
164,-36.96608984936029
165,-37.24614145606756
166,-37.34794723242521
167,-37.09075379371643
168,-36.52485063672066
169,-37.663156896829605
170,-36.80500300973654
171,-37.10060952603817
172,-36.81004874408245
173,-35.55588333308697
174,-36.55457365512848
175,-37.03461542725563
176,-37.92026545107365
177,-35.796631284058094
178,-35.94274950772524
179,-36.343925312161446
180,-35.600292325019836
181,-36.02068309485912
182,-36.23029679059982
183,-35.93746070563793
184,-36.28376041352749
185,-36.466066017746925
186,-35.93753872066736
187,-34.80727872997522
188,-36.29622442275286
189,-35.948289550840855
190,-35.61371038109064
191,-35.730865597724915
192,-36.02488574385643
193,-35.283364463597536
194,-35.49565099924803
195,-35.771902829408646
196,-35.46651940792799
197,-34.74550709873438
198,-34.39860299229622
199,-34.3681965470314
200,-35.2261403799057
201,-35.22487296164036
202,-35.452654495835304
203,-35.41803852468729
204,-34.52245733886957
205,-35.18423215858638
206,-34.464255541563034
207,-37.28120344132185
208,-35.254438653588295
209,-34.69604026968591
210,-34.66837541013956
211,-34.72033178806305
212,-34.6059086099267
213,-34.35506907105446
214,-35.326666578650475
215,-34.734818793833256
216,-33.91371203958988
217,-34.215285055339336
218,-34.04280509799719
219,-33.788515128195286
220,-34.04560213536024
221,-34.518396243453026
222,-34.13934626430273
223,-33.93448203802109
224,-34.095508858561516
225,-34.019801899790764
226,-33.80934426933527
227,-32.855962842702866
228,-32.884673073887825
229,-34.43402739614248
230,-34.05355875939131
231,-34.42297127842903
232,-33.775278709828854
233,-34.82687874138355
234,-33.59821220487356
235,-33.807647451758385
236,-33.043844535946846
237,-33.65544082224369
238,-33.38431225717068
239,-33.42012505233288
240,-33.371989108622074
241,-32.28403268754482
242,-33.305715672671795
243,-33.220966055989265
244,-33.58056519180536
245,-33.97097499668598
246,-31.85678029805422
247,-33.15293524414301
248,-33.334854669868946
249,-33.50212309509516
250,-33.997827649116516
251,-34.277728497982025
252,-34.07107447832823
253,-34.056009247899055
254,-33.60716976225376
255,-34.269869059324265
256,-33.4424110352993
257,-33.35271008312702
258,-34.39094974845648
259,-33.449613347649574
260,-34.22892099618912
261,-33.32505262643099
262,-33.168722696602345
263,-33.8726477175951
264,-33.49947952479124
265,-32.290987484157085
266,-33.0102643892169
267,-33.47085515409708
268,-32.64309915155172
