episode_in_level,episode_global,reward
1,851,1439.8178105726838
2,852,4039.102832503617
3,853,1676.4887567199767
4,854,5275.472307732329
5,855,5599.834997326136
6,856,4607.12605499709
7,857,4351.05193081731
8,858,2004.853924760595
9,859,1.5901801171712577
10,860,1407.3924996182323
11,861,4214.362603051588
12,862,6272.198427650146
13,863,2742.2735397501383
14,864,840.3954545259476
15,865,4746.151916912757
16,866,2921.6262605139054
17,867,1985.8888355558738
18,868,5649.670312567614
19,869,5307.458682436496
20,870,3036.1844991520047
21,871,7272.086542332079
22,872,4635.194849009669
23,873,5502.3366239741445
24,874,3428.7733722226694
25,875,4733.93553984724
26,876,2322.233055792749
27,877,2238.1625411063433
28,878,3555.00469138287
29,879,4410.033121854067
30,880,2335.4283313310007
31,881,3663.5458574065706
32,882,3056.699374333024
33,883,3953.8581801988184
34,884,1321.4105741977692
35,885,1496.169794589281
36,886,1238.344944048673
37,887,1300.058605849743
38,888,3103.7159174755216
39,889,4583.883726036176
40,890,5488.178309164941
41,891,4291.6667800871655
42,892,7415.942112356424
43,893,4436.144921245053
44,894,6074.250170111656
45,895,2115.365018427372
46,896,3702.6876190640032
47,897,2726.944807363674
48,898,3995.472952350974
49,899,2855.78494749777
50,900,5697.677732750773
