episode_in_level,episode_global,reward
1,801,1773.5391946844757
2,802,1847.4943398255855
3,803,3542.1824557371438
4,804,8001.617469511926
5,805,2161.411409728229
6,806,4146.619842265733
7,807,5220.736022293568
8,808,4558.118522286415
9,809,2306.937258720398
10,810,5222.999635070562
11,811,6132.061085947324
12,812,5064.732426792383
13,813,1769.3700950276107
14,814,3455.2926787990145
15,815,1618.1662185713649
16,816,1079.0843492597342
17,817,1649.9011483043432
18,818,1074.3566637337208
19,819,1847.3301853295416
20,820,1018.6747521739453
21,821,1724.3777664601803
22,822,4120.109125350602
23,823,1291.1348046064377
24,824,4611.601690930314
25,825,4169.973478287458
26,826,1343.4274579808116
27,827,2347.559142733924
28,828,995.26742605865
29,829,5490.222299236804
30,830,2332.432071134448
31,831,4870.435625582933
32,832,1613.336044061929
33,833,1471.5047996416688
34,834,1240.4053753600456
35,835,1784.1721083596349
36,836,2201.3380724340677
37,837,7984.263746321201
38,838,5485.617493495345
39,839,1114.745847158134
40,840,1390.2367306947708
41,841,1901.8447066061199
42,842,1654.968861579895
43,843,1362.1321307122707
44,844,5397.474124312401
45,845,1123.607739239931
46,846,2698.580960717052
47,847,1002.4140224866569
48,848,3984.3420122414827
49,849,1793.1964234486222
50,850,2877.1113705907483
