episode_in_level,episode_global,reward
1,151,227.59534019231796
2,152,10.016206139698625
3,153,252.57845507422462
4,154,323.3809684496373
5,155,226.150411689654
6,156,-121.53643607534468
7,157,193.52333636954427
8,158,358.6710332967341
9,159,247.48309954546858
10,160,225.3768094331026
11,161,312.95738065987825
12,162,202.53946312516928
13,163,-107.84773164521903
14,164,315.8081739638001
15,165,207.39956514444202
16,166,406.21257208287716
17,167,-71.05946306185797
18,168,317.23132603336126
19,169,228.89707051962614
20,170,29.244167837314308
21,171,64.3115666936792
22,172,335.3273388352245
23,173,324.3394522666931
24,174,362.47709872573614
25,175,204.9751766647678
26,176,286.1628370974213
27,177,-31.654695733683184
28,178,401.2222568821162
29,179,322.704247857444
30,180,334.35641537606716
31,181,262.86340280342847
32,182,284.5986721609952
33,183,283.89527061069384
34,184,150.1343793272972
35,185,212.88008520379663
36,186,307.4639110714197
37,187,164.5521284978022
38,188,164.03281570028048
39,189,243.0188889876008
40,190,253.70058324281126
41,191,-73.9109564051032
42,192,380.0560039021075
43,193,172.1978614628315
44,194,283.9452362395823
45,195,-11.288337974925525
46,196,316.8905924856663
47,197,265.9565205441904
48,198,196.49607910215855
49,199,369.890901055187
50,200,331.19280425459146
