episode_in_level,episode_global,reward
1,151,230.36943767918274
2,152,-9.464210067177191
3,153,323.9583498984575
4,154,544.7555150603876
5,155,326.59476643189555
6,156,-57.647043991601095
7,157,-67.56860980670899
8,158,328.7122335061431
9,159,464.33456920133904
10,160,610.7244037592318
11,161,134.193784867879
12,162,427.57926790742204
13,163,380.835185529897
14,164,468.24237748591986
15,165,269.77074829803314
16,166,521.3495879932307
17,167,452.6262646149844
18,168,341.82788572413847
19,169,333.8561722370796
20,170,324.19457727484405
21,171,417.262322961411
22,172,-108.369678074494
23,173,511.72251096891705
24,174,262.4443700965494
25,175,238.07536832708865
26,176,-69.9485348709859
27,177,343.30485399015015
28,178,301.0424383864738
29,179,279.7253350992687
30,180,228.31264761619968
31,181,314.56408981233835
32,182,342.8291332339868
33,183,367.43190512806177
34,184,411.39201250113547
35,185,270.8693235942628
36,186,392.7649312186986
37,187,319.5412625897443
38,188,307.0070903301239
39,189,355.48277412122115
40,190,340.9945544395596
41,191,415.1992320565041
42,192,358.1985359932296
43,193,344.256146652624
44,194,320.66775481030345
45,195,264.78853360563517
46,196,399.942048327066
47,197,326.9563082046807
48,198,427.5819396181032
49,199,407.6691670711152
50,200,373.8331565503031
