episode,reward
1,-57.06719094514847
2,-50.45837181806564
3,-64.12397310137749
4,-71.89425748586655
5,-14.182734720408916
6,-16.01798526197672
7,-62.16874209046364
8,-23.181789085268974
9,-51.17827522754669
10,-69.71299147605896
11,-61.3695504963398
12,-61.92478421330452
13,-23.122839741408825
14,-57.52993178367615
15,-68.80071750283241
16,-75.36428534984589
17,-51.2402218580246
18,-29.75468635559082
19,-24.542398035526276
20,-24.234532326459885
21,-63.726262509822845
22,-15.359454371035099
23,-51.95968145132065
24,-68.7859738767147
25,-61.74797183275223
26,-60.22322744131088
27,-23.646728202700615
28,-15.98239979147911
29,-71.20725965499878
30,-57.179967135190964
31,-67.27046233415604
32,-21.278369188308716
33,-29.135804668068886
34,-69.6997988820076
35,-66.66560131311417
36,-64.85600385069847
37,-19.722277343273163
38,-19.819637164473534
39,-60.909550964832306
40,-62.86199593544006
41,-59.09496730566025
42,-54.54956218600273
43,-60.45204430818558
44,-53.06993106007576
45,-18.83912818133831
46,-18.531574577093124
47,-63.77354508638382
48,-59.94966670870781
49,-21.60452438145876
50,-20.78086542338133
51,-16.81967142224312
52,-22.908507838845253
53,-25.054512061178684
54,-18.718391969799995
55,-14.197298355400562
56,-66.98115411400795
57,-55.9299791008234
58,-17.67599119246006
59,-67.02176642417908
60,-54.125967502593994
61,-17.503674045205116
62,-27.775026679039
63,-20.927620843052864
64,-24.275161117315292
65,-69.54837626218796
66,-21.92247734963894
67,-41.73157274723053
68,-20.925199188292027
69,-60.76557520031929
70,-50.20868730545044
71,-28.462339490652084
72,-37.936101108789444
73,-17.84544564783573
74,-67.66847112774849
75,-24.913890160620213
76,-28.166477158665657
77,-61.12451350688934
78,-15.713928908109665
79,-16.099686205387115
80,-70.01847833395004
81,-52.64906769990921
82,-29.495779141783714
83,-55.594722390174866
84,-67.21727582812309
85,-65.61507013440132
86,-63.28143584728241
87,-26.977397739887238
88,-43.90203143656254
89,-19.249246180057526
90,-12.438478715717793
91,-61.642374992370605
92,-16.098548352718353
93,-15.330665335059166
94,-61.83895981311798
95,-56.05550727248192
96,-67.33979350328445
97,-24.07794778048992
98,-16.636446118354797
99,-25.381789833307266
100,-63.13029399514198
101,-57.78294825553894
102,-13.126196805387735
103,-52.854370564222336
104,-54.97467792034149
105,-63.783184707164764
106,-26.787152394652367
107,-54.424447536468506
108,-63.77452901005745
109,-54.0482901930809
110,-35.65623685717583
111,-21.000219993293285
112,-65.97739547491074
113,-56.72377824783325
114,-25.624154448509216
115,-22.01818411052227
116,-17.083505012094975
117,-66.20628118515015
118,-53.52582347393036
119,-19.008696652948856
120,-8.608180793002248
121,-47.323724180459976
122,-10.758663110435009
123,-68.34700438380241
124,-20.120550349354744
125,-24.13268169015646
126,-23.97081919014454
127,-23.82603371143341
128,-14.784761004149914
129,-65.90831887722015
130,-51.96416446566582
131,-9.521578423678875
132,-47.04157339036465
133,-23.70433509349823
134,-40.871863037347794
135,-24.122348852455616
136,-21.210426688194275
137,-18.92004419118166
138,-16.687708750367165
139,-57.5698299407959
140,-64.14079964160919
141,-29.88228876888752
142,-27.223679423332214
143,-17.112174324691296
144,-21.556813023984432
145,-21.968483477830887
146,-48.8514000326395
147,-56.104532808065414
148,-41.32860930263996
149,-20.536367915570736
150,-56.02894699573517
151,-55.789113998413086
152,-11.10806279629469
153,-52.99887689948082
154,-56.23628035187721
155,-64.67080932855606
