episode,reward
1,-52.51523554325104
2,-51.88612239807844
3,-51.41858618706465
4,-52.38814952224493
5,-51.508048087358475
6,-52.0975471585989
7,-53.44231942296028
8,-51.91371093690395
9,-52.314642161130905
10,-50.72483512759209
11,-51.8991789072752
12,-51.100018337368965
13,-51.03481184691191
14,-89.55103075504303
15,-50.779517985880375
16,-51.029710710048676
17,-50.75619946420193
18,-50.79219475388527
19,-51.732690155506134
20,-50.6479818969965
21,-56.145629063248634
22,-50.70888628810644
23,-50.32574640959501
24,-50.229560032486916
25,-51.03990703076124
26,-50.945253767073154
27,-49.725183956325054
28,-79.27970577031374
29,-50.02849543839693
30,-51.333416767418385
31,-49.555172353982925
32,-48.85065899044275
33,-50.020031183958054
34,-50.32712298631668
35,-57.19964285939932
36,-49.58940368890762
37,-49.98304884880781
38,-49.997735761106014
39,-49.42538069933653
40,-49.91763311624527
41,-50.28338090330362
42,-49.20689579099417
43,-49.27017843723297
44,-49.84361797571182
45,-49.242042891681194
46,-49.32888105511665
47,-49.16798193752766
48,-53.016946226358414
49,-48.70263830572367
50,-47.675946578383446
51,-49.114166244864464
52,-48.806770734488964
53,-48.94142064452171
54,-48.85505860298872
55,-49.25341089069843
56,-48.40254473686218
57,-47.89899453520775
58,-47.94414919614792
59,-47.75321511924267
60,-47.83105947077274
61,-48.649346351623535
62,-45.5894323810935
63,-46.671929106116295
64,-47.91701231896877
65,-46.94935943186283
66,-47.58633293956518
67,-47.4349464699626
68,-47.600185826420784
69,-43.34087821096182
70,-47.20952231436968
71,-46.94205815345049
72,-47.10600000619888
73,-46.217406794428825
74,-46.952873423695564
75,-47.465644635260105
76,-41.23145619034767
77,-45.806062914431095
78,-46.30989005416632
79,-45.97535894066095
80,-45.72254438698292
81,-45.32906833291054
82,-41.481762051582336
83,-45.55620738863945
84,-44.72322790324688
85,-45.945218831300735
86,-45.844340190291405
87,-45.984803929924965
88,-45.60342103242874
89,-45.987529300153255
90,-45.17386174201965
91,-44.752354480326176
92,-45.00274098664522
93,-44.19941861182451
94,-44.679324239492416
95,-44.57651724666357
96,-43.35923436284065
97,-44.54620888829231
98,-44.37489254027605
99,-44.31523249298334
100,-43.68057728558779
101,-43.83111570775509
102,-44.12879767268896
103,-66.94570091366768
104,-42.681375965476036
105,-42.821378745138645
106,-43.109774716198444
107,-42.952368408441544
108,-43.59167103469372
109,-43.35551781207323
110,-37.400670296978205
111,-43.48550342768431
112,-42.78232219815254
113,-43.04800225049257
114,-42.93457952141762
115,-42.2105627655983
116,-43.09747268259525
117,-42.58787904679775
118,-43.25677561759949
119,-43.069542206823826
120,-42.729724772274494
121,-43.12402368336916
122,-42.0650080665946
123,-43.037934713065624
124,-42.239330127835274
125,-41.69299499690533
126,-41.99390125274658
127,-41.838801607489586
128,-42.47817371785641
129,-41.73656822741032
130,-45.89083056151867
131,-40.74548014253378
132,-41.97903295606375
133,-40.90571007877588
134,-41.40291652083397
135,-40.68838047236204
136,-41.285412952303886
137,-40.46298246085644
138,-40.471112474799156
139,-40.75745560973883
140,-40.69522624462843
141,-40.882785335183144
142,-40.759253427386284
143,-40.69706133008003
144,-40.76422011107206
145,-40.045988634228706
146,-39.965461529791355
147,-40.30548319965601
148,-40.06913001090288
149,-39.78982198983431
150,-40.27395600825548
151,-42.88113088905811
152,-39.92031466215849
153,-40.54310215264559
154,-39.6081897765398
155,-39.69018009305
156,-40.13995859026909
157,-39.966700717806816
158,-39.80814626254141
159,-39.818824000656605
160,-39.679245099425316
161,-40.07616475224495
162,-38.98023463785648
163,-39.5316381752491
164,-35.37955144792795
165,-39.74543584138155
166,-39.12281026691198
167,-38.43311417102814
168,-38.83751039206982
169,-39.10836526751518
170,-39.24913661926985
171,-41.00761058926582
172,-38.60851427912712
173,-38.09097948670387
174,-39.03755880892277
175,-39.04655468463898
176,-38.54205897450447
177,-38.143747076392174
178,-33.018889896571636
179,-38.14563503116369
180,-38.48059597611427
181,-38.597216717898846
182,-38.06760895997286
183,-38.67685566097498
184,-38.3291669934988
185,-38.354797437787056
186,-37.998410157859325
187,-38.18606711179018
188,-38.18331640958786
189,-38.15791644901037
190,-37.95861066132784
191,-38.21531272679567
192,-37.51104800403118
193,-37.98835423588753
194,-38.18886202573776
195,-37.76799815893173
196,-37.83777803182602
197,-37.78377904742956
198,-37.663281701505184
199,-37.257031582295895
200,-36.98609668761492
201,-37.64923172444105
202,-37.22176969796419
203,-37.19793277978897
204,-37.30397380143404
205,-40.50754475593567
206,-36.403961189091206
207,-36.905813954770565
208,-37.017410069704056
209,-36.71132871508598
210,-37.19804781675339
211,-36.97348424047232
212,-39.37032639235258
213,-36.62839601933956
214,-36.469404108822346
215,-36.483389280736446
216,-36.67848464101553
217,-36.583001509308815
218,-36.93173498660326
219,-38.22406177222729
220,-36.49603899568319
221,-36.186106979846954
222,-36.5090097784996
223,-36.92480915784836
224,-36.26831212639809
225,-36.11707757413387
226,-33.83287414908409
227,-36.1256212964654
228,-36.27567317336798
229,-35.842595137655735
230,-36.35803051292896
231,-36.328038573265076
232,-36.31686459481716
233,-41.47298353165388
234,-36.06390967220068
235,-36.27247980982065
236,-35.892780385911465
237,-35.84062438458204
238,-35.823255732655525
239,-32.12932479381561
240,-35.54872843623161
241,-35.770435966551304
242,-35.71240419149399
243,-35.61590211838484
244,-35.82490802556276
245,-35.628799207508564
246,-35.92931737750769
247,-35.45523305237293
248,-35.399608746171
249,-35.29788498580456
250,-35.386281095445156
251,-35.34995982050896
252,-35.88114561140537
253,-35.45156615227461
254,-35.096106357872486
255,-35.04468284547329
256,-35.12321665883064
257,-35.28470115363598
258,-35.274682842195034
259,-35.188918732106686
260,-35.25005266070366
261,-35.10728421807289
262,-35.38294194638729
263,-35.065029852092266
264,-35.03044459968805
265,-35.131825871765614
266,-35.13346392661333
267,-29.598614893853664
268,-34.76988732814789
269,-34.78403479605913
270,-34.791582606732845
271,-35.036834955215454
272,-35.067978613078594
273,-34.91061768680811
274,-30.12997791171074
275,-34.43138579279184
276,-34.58656085282564
277,-34.43005155026913
278,-34.47416848689318
279,-34.42886009812355
280,-28.11338960379362
281,-34.327947586774826
282,-34.164651952683926
283,-34.34072162210941
284,-34.510690569877625
285,-34.37966936081648
286,-34.48074631392956
287,-30.926783956587315
288,-34.417901895940304
289,-34.276321694254875
290,-33.941786363720894
291,-34.185841120779514
292,-34.22766426950693
293,-34.0173399373889
294,-8.399859823286533
295,-33.96964259445667
296,-34.144174464046955
297,-33.98825240135193
298,-34.11183463037014
299,-34.04093872755766
