episode_in_level,episode_global,reward
1,301,246.49273388832808
2,302,329.906672780402
3,303,246.54006216535345
4,304,149.2299619289115
5,305,152.15044101329113
6,306,506.2207711879164
7,307,74.09605504537467
8,308,316.6040854564635
9,309,261.0164911481552
10,310,282.64383070962504
11,311,325.58505409490317
12,312,246.76725544501096
13,313,110.17793666291982
14,314,299.92007138207555
15,315,216.384704423137
16,316,315.56601742701605
17,317,378.48423808504594
18,318,497.6017812695354
19,319,211.58160749240778
20,320,429.8158546052
21,321,511.12709470372647
22,322,443.2782504619099
23,323,235.04278196534142
24,324,420.88979967846535
25,325,256.5628431162331
26,326,517.5250475220382
27,327,542.4757997663692
28,328,499.2972381748259
29,329,240.83070277632214
30,330,306.63158443849534
31,331,539.9457722366787
32,332,203.29549323488027
33,333,214.7459340505302
34,334,383.4823706744937
35,335,508.80543697811663
36,336,393.8025383418426
37,337,499.9963285755366
38,338,505.67606870271266
39,339,235.53677589260042
40,340,541.1904548872262
41,341,409.34600528143346
42,342,476.82173521630466
43,343,344.73520517814904
44,344,468.19060384092154
45,345,288.2902322113514
46,346,233.47813733294606
47,347,234.67209992464632
48,348,377.49467134289443
49,349,226.9993000505492
50,350,482.2567749079317
