episode_in_level,episode_global,reward
1,601,678.7948791235685
2,602,2089.8156185150146
3,603,-10.940918709151447
4,604,-100.30892944335938
5,605,666.3681582149584
6,606,1257.0158553123474
7,607,1405.3348992913961
8,608,1349.228688031435
9,609,1710.8347519002855
10,610,896.4969775080681
11,611,837.8582055512816
12,612,1915.7849339842796
13,613,949.6777178579941
14,614,1044.467651538318
15,615,2846.2603397369385
16,616,1122.8371307849884
17,617,842.5464858710766
18,618,787.509688526392
19,619,1053.2769701480865
20,620,833.0023111347109
21,621,619.6031841486692
22,622,686.1976353526115
23,623,1439.0741231441498
24,624,683.4573936592788
25,625,1313.100945815444
26,626,692.5810556933284
27,627,1164.9184774458408
28,628,787.0472296923399
29,629,711.0363738834858
30,630,725.9199122786522
31,631,1632.1399047970772
32,632,666.6086874306202
33,633,985.2072696685791
34,634,1431.892074227333
35,635,1680.3701580762863
36,636,2984.487220644951
37,637,1140.6903275847435
38,638,1123.9894907474518
39,639,1486.7136381331366
40,640,739.9559490978718
41,641,725.0141149302945
42,642,2050.92926132679
43,643,1620.776613920927
44,644,3045.034646347165
45,645,642.5661767721176
46,646,941.2600367069244
47,647,966.5805931091309
48,648,1348.9890294745564
49,649,1018.0451942868531
50,650,588.0450799763203
51,651,844.1612019268796
52,652,2270.6668523848057
53,653,1372.4173127412796
54,654,635.6817777752876
55,655,1004.1720807254314
56,656,679.2914714813232
57,657,1434.7418287694454
58,658,673.7752308249474
59,659,2674.368208229542
60,660,1172.0246675051749
61,661,1571.4938964247704
62,662,-130.77300384640694
63,663,725.7007455080748
64,664,821.5057346820831
65,665,704.9538247734308
66,666,698.2784762531519
67,667,1741.0195160508156
68,668,1104.4367936849594
69,669,812.824253808707
70,670,1459.258808940649
71,671,1030.9135597795248
72,672,1054.6965117235668
73,673,1683.1299788001925
74,674,1750.0897555537522
75,675,1023.6831340454519
76,676,601.41568171978
77,677,972.9298788458109
78,678,1104.5998694077134
79,679,694.690157532692
80,680,918.43114772439
81,681,1008.2957638055086
82,682,796.3420333862305
83,683,1044.5317200450227
84,684,682.1691098213196
85,685,1022.1908977851272
86,686,721.2753577232361
87,687,851.0026273727417
88,688,1038.0533049926162
89,689,912.5835350751877
90,690,1256.882973909378
91,691,1018.1987555027008
92,692,1325.4886787831783
93,693,743.1380550563335
94,694,1393.5707404017448
95,695,602.9948204755783
96,696,849.166902244091
97,697,866.8333236426115
98,698,871.5820788741112
99,699,1204.2400339338928
100,700,1562.9202709272504
101,701,14.266834549605846
102,702,644.379516094923
103,703,650.605510354042
104,704,993.4337165355682
105,705,888.9668315649033
106,706,841.4249332845211
107,707,1825.0949756726623
108,708,921.7021697498858
109,709,1365.248164512217
110,710,813.6071291565895
111,711,955.9932026714087
112,712,957.3054360747337
113,713,682.2763132080436
114,714,1633.0231120586395
115,715,-10.097088727168739
116,716,729.4580542687327
117,717,904.4926014551893
118,718,704.2826599478722
119,719,747.5365828871727
120,720,762.1143032833934
121,721,1386.3219197317958
122,722,1310.9041617810726
123,723,711.8108608108014
124,724,-117.35930025577545
125,725,1406.3377003669739
126,726,919.5455395579338
127,727,787.923853456974
128,728,1069.1567127406597
129,729,708.8476295992732
130,730,725.0833961875178
131,731,1482.4350560302846
132,732,787.7423502504826
133,733,796.0649068424245
134,734,1036.5264781340957
135,735,710.0369019694626
136,736,701.339229516685
137,737,1261.0006476342678
138,738,1801.349777571857
139,739,705.923248142004
140,740,977.4851909056306
141,741,1045.7237570881844
142,742,694.2683423310518
143,743,2051.2320315614343
144,744,-142.16283679008484
145,745,903.7243447527289
146,746,643.1722349077463
147,747,732.6715226173401
148,748,801.1950556635857
149,749,1040.475755661726
150,750,1372.7242147978395
