episode_in_level,episode_global,reward
1,51,218.7999085187912
2,52,131.08939026482403
3,53,-242.64526336360723
4,54,118.18115910049528
5,55,213.76772487163544
6,56,145.7838251143694
7,57,135.5443751309067
8,58,-491.8764659729786
9,59,179.7709479033947
10,60,-314.7576572417747
11,61,143.95776897110045
12,62,-499.11423051613383
13,63,-402.1003193165525
14,64,-395.4931604301946
15,65,-382.05987340118736
16,66,-279.7846867889166
17,67,-232.81247780150989
18,68,152.5698592076078
19,69,210.97059475909919
20,70,183.41139150597155
21,71,153.2614070425625
22,72,212.45142018795013
23,73,172.2270393371582
24,74,170.77778780832887
25,75,-189.20210668584332
26,76,-382.1160753436852
27,77,199.63300336152315
28,78,171.24070162745193
29,79,230.02165460772812
30,80,15.216838765423745
31,81,-208.68274103710428
32,82,138.72740174271166
33,83,-185.75864019151777
34,84,223.28438007831573
35,85,217.24399661272764
36,86,171.9820835776627
37,87,193.8294340763241
38,88,168.54764297849033
39,89,174.99466326087713
40,90,171.2887896914035
41,91,162.63524670153856
42,92,183.60167138604447
43,93,248.28572108224034
44,94,240.16676387097687
45,95,194.99375503882766
46,96,78.22899458371103
47,97,262.54462722316384
48,98,139.23902727663517
49,99,184.98393409722485
50,100,-125.30695463081793
