episode,reward
1,-95.68110942840576
2,-99.55908298492432
3,-99.82920169830322
4,-99.8673677444458
5,-100.21019458770752
6,-101.25818252563477
7,-98.33102345466614
8,-99.09255743026733
9,-98.32157850265503
10,-99.78316068649292
11,-98.40452671051025
12,-98.23992252349854
13,-100.1472806930542
14,-99.03324127197266
15,-98.47241640090942
16,-100.05642652511597
17,-99.31859493255615
18,-99.731285572052
19,-99.91044998168945
20,-97.10328578948975
21,-175.59953212738037
22,-100.30236721038818
23,-100.05692481994629
24,-99.91292476654053
25,-100.13918399810791
26,-100.7844066619873
27,-99.4019889831543
28,-100.1459789276123
29,-99.99853014945984
30,-98.80877494812012
31,-174.54502868652344
32,-99.76758241653442
33,-98.39148998260498
34,-98.96336078643799
35,-99.81378555297852
36,-100.2083420753479
37,-99.95614767074585
38,-99.78406429290771
39,-100.40846586227417
40,-99.92987632751465
41,-99.59370613098145
42,-101.55241966247559
43,-100.02807378768921
44,-98.26343059539795
45,-99.611074924469
46,-99.92924690246582
47,-99.94881629943848
48,-100.05441665649414
49,-100.01810312271118
50,-99.4698166847229
51,-99.86123085021973
52,-123.83301258087158
53,-99.50037479400635
54,-100.4092264175415
55,-100.08235931396484
56,-99.95557308197021
57,-100.05383491516113
58,-99.77874279022217
59,-100.12969017028809
60,-100.6773853302002
61,-100.80568313598633
62,-133.27034950256348
63,-99.99533653259277
64,-100.16238212585449
65,-100.03907799720764
66,-100.07837772369385
67,-100.97166538238525
68,-99.98263835906982
69,-100.11321783065796
70,-99.092116355896
71,-100.47676086425781
72,-99.960618019104
73,-99.54575538635254
74,-100.00605583190918
75,-100.2760648727417
76,-99.9960446357727
77,-100.09875297546387
78,-99.5260739326477
79,-99.31724548339844
80,-99.48549747467041
81,-99.89174842834473
82,-131.99262142181396
83,-100.03528356552124
84,-99.87765312194824
85,-100.01954078674316
86,-98.71817588806152
87,-98.87560844421387
88,-100.13943672180176
89,-98.17361354827881
90,-99.4698166847229
91,-99.9102234840393
92,-100.01412868499756
93,-153.14057445526123
94,-98.95374774932861
95,-100.02803325653076
96,-99.78727102279663
97,-99.97897624969482
98,-100.11606216430664
99,-101.02866172790527
100,-100.20031452178955
101,-99.75196838378906
102,-100.00450372695923
103,-116.45758199691772
104,-100.02535343170166
105,-98.3822774887085
106,-99.91204738616943
107,-99.93897438049316
108,-99.81030941009521
109,-99.85244989395142
110,-100.25874853134155
111,-99.93709087371826
112,-99.13031578063965
113,-141.18593978881836
114,-99.8961591720581
115,-100.11671304702759
116,-100.8235502243042
117,-100.09010314941406
118,-99.9504017829895
119,-100.83615303039551
120,-100.0931453704834
121,-100.06415367126465
122,-100.03604650497437
123,-88.45888710021973
124,-100.04364013671875
125,-100.05420446395874
126,-100.01324653625488
127,-100.07981300354004
128,-99.0013599395752
129,-100.0230598449707
130,-100.63265323638916
131,-99.94974613189697
132,-100.01659393310547
133,-100.02195119857788
134,-100.0108551979065
135,-99.99430418014526
136,-99.99379396438599
137,-100.02073287963867
138,-100.03447771072388
139,-100.01910209655762
140,-100.0404143333435
141,-100.09897232055664
142,-100.038743019104
143,-99.97615814208984
144,-99.89007949829102
145,-100.00685691833496
146,-99.65367555618286
147,-100.03469944000244
148,-100.02239227294922
149,-100.02069473266602
150,-100.01554012298584
151,-100.03897666931152
152,-100.04354953765869
153,-99.95078563690186
154,-100.09704351425171
155,-100.05823135375977
156,-100.01178979873657
157,-100.03434181213379
158,-99.94088649749756
159,-99.87799167633057
160,-100.02565622329712
161,-100.11487483978271
162,-100.05627155303955
163,-100.01811504364014
164,-99.94308471679688
165,-100.00931739807129
166,-99.79398250579834
167,-100.19454002380371
168,-99.73855495452881
169,-100.0302529335022
170,-100.0073766708374
171,-100.02380847930908
172,-100.01578330993652
173,-100.03031253814697
174,-100.02323150634766
175,-100.01272678375244
176,-100.0247323513031
177,-100.00822067260742
178,-100.02624034881592
179,-100.00406265258789
180,-100.03387689590454
181,-100.01852989196777
182,-100.07476329803467
183,-100.06162643432617
184,-100.03124237060547
185,-100.0992202758789
186,-100.01209259033203
187,-100.02005100250244
188,-100.02443790435791
189,-100.0489091873169
190,-100.01640796661377
191,-99.94571924209595
192,-100.02902507781982
193,-100.0373363494873
194,-100.01516342163086
195,-104.27401900291443
196,-100.01259803771973
197,-100.02106666564941
198,-100.15450477600098
199,-100.00093936920166
200,-100.02151012420654
201,-100.01568794250488
202,-100.01004695892334
203,-100.02854108810425
204,-100.0244665145874
205,-100.01605033874512
206,-100.002121925354
207,-100.08216381072998
208,-100.02604484558105
209,-100.01070499420166
210,-100.01341342926025
211,-100.00738620758057
212,-100.0079870223999
213,-100.06766319274902
214,-100.1990270614624
215,-100.01877307891846
216,-136.0958137512207
217,-100.01402139663696
218,-100.05012035369873
219,-100.07175922393799
220,-100.08830547332764
221,-100.0693678855896
222,-101.10142230987549
223,-100.05110025405884
224,-100.0132417678833
225,-100.01774311065674
226,-91.14515995979309
227,-100.04103660583496
228,-100.02596139907837
229,-100.09263515472412
230,-100.03316640853882
231,-99.99320387840271
232,-100.04283666610718
233,-99.98068809509277
234,-100.02886056900024
235,-99.9909782409668
236,-99.97937202453613
237,-102.62793064117432
238,-100.01683473587036
239,-100.04438161849976
240,-100.19817352294922
241,-100.09196758270264
242,-100.02516269683838
243,-100.01283168792725
244,-100.02163410186768
245,-100.1444673538208
246,-100.29444217681885
247,-100.01724243164062
248,-100.01386404037476
249,-100.016770362854
250,-99.97128009796143
251,-100.02044677734375
252,-100.07079839706421
253,-100.03681182861328
254,-100.26266574859619
255,-100.05306243896484
256,-100.11006355285645
257,-93.09959173202515
258,-100.09562015533447
259,-100.06381511688232
260,-100.02676725387573
261,-99.67559814453125
262,-99.91372108459473
263,-100.03643035888672
264,-100.02188682556152
265,-99.92253065109253
266,-99.97335910797119
267,-100.07801055908203
268,-99.94164943695068
269,-100.03990054130554
