episode,reward
1,-53.9013786315918
2,-50.2360954284668
3,-50.22184753417969
4,-50.23993682861328
5,-50.18379211425781
6,-50.2147102355957
7,-50.165428161621094
8,-50.25440979003906
9,-50.2093505859375
10,-50.24139404296875
11,-50.25242233276367
12,-50.225677490234375
13,-50.233097076416016
14,-50.208499908447266
15,-50.20309066772461
16,-50.201473236083984
17,-50.26985549926758
18,-50.17898941040039
19,-50.184814453125
20,-50.216880798339844
21,-50.2374267578125
22,-50.240447998046875
23,-50.26360321044922
24,-50.23546600341797
25,-50.217681884765625
26,-50.21696853637695
27,-50.19342803955078
28,-50.164676666259766
29,-50.23150634765625
30,-50.25474166870117
31,-50.239620208740234
32,-50.217220306396484
33,-50.23902130126953
34,-50.27373123168945
35,-50.27595138549805
36,-50.23686218261719
37,-50.190086364746094
38,-50.22260665893555
39,-50.23279571533203
40,-50.24832534790039
41,-50.1873893737793
42,-50.20105743408203
43,-50.209136962890625
44,-50.21055603027344
45,-50.256229400634766
46,-50.203895568847656
47,-50.14402389526367
48,-50.16410827636719
49,-50.156558990478516
50,-50.18748474121094
51,-50.19356918334961
52,-50.1579475402832
53,-50.19734191894531
54,-50.21578598022461
55,-50.18889236450195
56,-50.21276092529297
57,-50.13866424560547
58,-50.23063659667969
59,-50.196048736572266
60,-50.1959228515625
61,-50.12157440185547
62,-50.209571838378906
63,-50.22639083862305
64,-50.15461730957031
65,-50.19244384765625
66,-50.177310943603516
67,-50.169742584228516
68,-50.221229553222656
69,-50.200035095214844
70,-50.22975540161133
71,-50.16276550292969
72,-50.158267974853516
73,-50.208560943603516
74,-50.18586730957031
75,-50.18946075439453
76,-50.190677642822266
77,-50.17642593383789
78,-50.146461486816406
79,-50.131568908691406
80,-50.18205642700195
81,-50.17544174194336
82,-50.19873809814453
83,-50.212738037109375
84,-50.14274597167969
85,-50.14970016479492
86,-50.166866302490234
87,-50.16889190673828
88,-50.1550178527832
89,-50.15615463256836
90,-50.2034797668457
91,-50.16778564453125
92,-50.15689468383789
93,-50.17843246459961
94,-50.19746017456055
95,-50.193511962890625
96,-50.18953323364258
97,-50.186424255371094
98,-50.17087173461914
99,-50.18215560913086
100,-50.17596435546875
101,-50.12962341308594
102,-50.19527053833008
103,-50.17576599121094
104,-50.14887237548828
105,-50.15737533569336
106,-50.14767074584961
107,-50.13685607910156
108,-50.19816970825195
109,-50.165382385253906
110,-50.158836364746094
111,-50.13251495361328
112,-50.18049240112305
113,-50.17338943481445
114,-50.18038558959961
115,-50.188819885253906
116,-50.18135070800781
117,-50.1768798828125
118,-50.177616119384766
119,-50.17979049682617
120,-50.188419342041016
121,-50.18684768676758
122,-50.135833740234375
123,-50.16464614868164
124,-50.163490295410156
125,-50.169883728027344
126,-50.140968322753906
127,-50.18922805786133
128,-50.19282531738281
129,-50.125675201416016
130,-50.11342239379883
131,-50.20439529418945
132,-50.185184478759766
133,-50.14812469482422
134,-50.223052978515625
135,-50.19797134399414
136,-50.16472244262695
137,-50.184059143066406
138,-50.123722076416016
139,-50.191619873046875
140,-50.1803092956543
141,-50.19933319091797
142,-50.145267486572266
143,-50.14881896972656
144,-50.1894645690918
145,-50.155540466308594
146,-50.19103240966797
147,-50.18018341064453
148,-50.192955017089844
149,-50.17777633666992
150,-50.20732879638672
151,-50.12897872924805
152,-50.21968078613281
153,-50.13206100463867
154,-50.18023681640625
155,-50.18096923828125
156,-50.17995834350586
157,-50.14667510986328
158,-50.16728210449219
159,-50.147605895996094
160,-50.154090881347656
161,-50.158016204833984
162,-50.19682312011719
163,-50.18721389770508
164,-50.15019989013672
165,-50.18079376220703
166,-50.20774841308594
167,-50.1688117980957
168,-50.15443801879883
169,-50.1698112487793
170,-50.13872146606445
171,-50.17605209350586
172,-50.132057189941406
173,-50.17466735839844
174,-50.18214416503906
175,-50.19783401489258
176,-50.21113204956055
177,-50.17391586303711
178,-50.211097717285156
179,-50.155975341796875
180,-50.15654754638672
181,-50.14179229736328
182,-50.184600830078125
183,-50.18630599975586
184,-50.20451354980469
185,-50.17314529418945
186,-50.13255310058594
187,-50.1683464050293
188,-50.121585845947266
189,-50.22929382324219
190,-50.16768264770508
191,-50.182281494140625
192,-50.154640197753906
193,-50.139163970947266
194,-50.18919372558594
195,-50.2066535949707
196,-50.21516418457031
197,-50.15831756591797
198,-50.21047592163086
199,-50.16061019897461
200,-50.18134307861328
201,-50.19093704223633
202,-50.18741989135742
203,-50.18124008178711
204,-50.14604187011719
205,-50.14847183227539
206,-50.17287826538086
207,-50.15285873413086
208,-50.15571975708008
209,-50.1519889831543
210,-50.13383483886719
211,-50.11176681518555
212,-50.176658630371094
213,-50.20845031738281
214,-50.161651611328125
215,-50.153160095214844
216,-50.20698165893555
217,-50.198646545410156
218,-50.15680694580078
219,-50.1722297668457
220,-50.18315124511719
221,-50.162452697753906
222,-50.1299934387207
223,-50.197235107421875
224,-50.165767669677734
225,-50.1575927734375
226,-50.12556457519531
227,-50.15276336669922
228,-50.2219123840332
229,-50.16398620605469
230,-50.136478424072266
231,-50.16681671142578
232,-50.17508316040039
233,-50.19522476196289
234,-50.18863296508789
235,-50.121482849121094
236,-50.17007064819336
237,-50.152530670166016
238,-50.20281219482422
239,-50.15705490112305
240,-50.17892837524414
241,-50.16322326660156
242,-50.12841796875
243,-50.2021598815918
244,-50.21282958984375
245,-50.20259475708008
246,-50.11404037475586
247,-50.15913009643555
248,-50.1516227722168
249,-50.21853256225586
250,-50.172611236572266
251,-50.14826202392578
252,-50.16107177734375
253,-50.20002365112305
254,-50.152706146240234
255,-50.18550491333008
256,-50.146331787109375
257,-50.169673919677734
258,-50.189579010009766
259,-50.19002914428711
260,-50.22966003417969
261,-50.18031692504883
262,-50.189693450927734
263,-50.1876220703125
264,-50.17293930053711
265,-50.18339538574219
266,-50.183597564697266
267,-50.163082122802734
268,-50.15678024291992
269,-50.13874816894531
270,-50.18799591064453
271,-50.171043395996094
272,-50.19276428222656
273,-50.200050354003906
274,-50.18777847290039
275,-50.154903411865234
