episode_in_level,episode_global,reward
1,1,213.952392578125
2,2,209.3381645679474
3,3,206.99770641326904
4,4,208.04755342006683
5,5,213.32026171684265
6,6,211.85303735733032
7,7,-279.9786296536913
8,8,-255.57925613364205
9,9,199.06013143062592
10,10,208.8206970691681
11,11,41.572010193020105
12,12,212.3821518421173
13,13,208.67154812812805
14,14,213.0559823513031
15,15,-381.0057109974441
16,16,106.31606906477828
17,17,209.5393818616867
18,18,162.39340144395828
19,19,210.03465497493744
20,20,162.99859581142664
21,21,210.0329942703247
22,22,207.96309614181519
23,23,172.84355948865414
24,24,208.16689538955688
25,25,209.57029390335083
26,26,210.38335931301117
27,27,211.3431533575058
28,28,210.63721680641174
29,29,207.21146190166473
30,30,107.91080437600613
31,31,138.24795345962048
32,32,72.87152696121484
33,33,214.14244544506073
34,34,205.26613906025887
35,35,209.0605902671814
36,36,91.0670196339488
37,37,209.40605568885803
38,38,80.49488225579262
39,39,149.4498662557453
40,40,142.7145908512175
41,41,210.92119324207306
42,42,-417.59421681123786
43,43,142.00659336615354
44,44,117.60088888555765
45,45,155.27384217083454
46,46,208.62945556640625
47,47,148.80160954408348
48,48,209.06446862220764
49,49,211.9710681438446
50,50,209.62859296798706
