episode,reward
1,-554.8936958312988
2,-1253.0509386062622
3,-1149.8941326141357
4,-1006.9663724899292
5,-1193.242256641388
6,-638.1664209365845
7,-1346.002670288086
8,-818.406409740448
9,-888.1330366134644
10,-1010.3014459609985
11,-859.3321380615234
12,-1239.1291189193726
13,-1003.6237573623657
14,-1002.0204834938049
15,-722.5891442298889
16,-597.6284103393555
17,-1433.7735133171082
18,-1060.7336802482605
19,-638.5816457271576
20,-825.3378739356995
21,-1120.4396276474
22,-945.1401014328003
23,-1146.597186088562
24,-965.4238891601562
25,-1220.8512845039368
26,-802.3740668296814
27,-714.4804573059082
28,-907.1251888275146
29,-912.6570520401001
30,-1097.1903767585754
31,-1232.9769353866577
32,-721.9901220798492
33,-1332.18186044693
34,-998.5086941719055
35,-1209.4682846069336
36,-835.8908417224884
37,-669.6726741790771
38,-646.7536330223083
39,-927.5328011512756
40,-912.1710367202759
41,-542.7354154586792
42,-1099.9600024223328
43,-490.1146287918091
44,-1145.6463251113892
45,-797.9564175605774
46,-498.607177734375
47,-695.8201987743378
48,-783.3598744869232
49,-1011.2083697319031
50,-645.9315404891968
51,-676.1548819541931
52,-683.6477310657501
53,-388.42626535892487
54,-1180.6911735534668
55,-759.6188733577728
56,-956.4325084686279
57,-688.7187752723694
58,-1454.8259782791138
59,-908.6460256576538
60,-1037.8784499168396
61,-583.7861433029175
62,-784.1021049022675
63,-982.4696407318115
64,-1033.6645812988281
65,-966.3633465766907
66,-1041.0671424865723
67,-1190.049548149109
68,-619.5398907661438
69,-648.6305332183838
70,-926.6816396713257
71,-738.7129762172699
72,-773.5507245063782
73,-849.7486324310303
74,-816.4722676277161
75,-390.5410873889923
76,-951.6103706359863
77,-561.8877160549164
78,-684.0855677127838
79,-919.8380327224731
80,-862.4667158126831
81,-857.9589042663574
82,-1317.4664163589478
83,-672.8509256839752
84,-786.3964412212372
85,-714.1711232662201
86,-1255.0777697563171
87,-462.2633020877838
88,-977.7525215148926
89,-1115.065101146698
90,-894.5803165435791
91,-1171.02050447464
92,-1083.2751369476318
93,-733.2319755554199
94,-778.5256767272949
95,-965.7317409515381
96,-627.2847084999084
97,-599.9783101081848
98,-778.2971248626709
99,-1167.6154680252075
100,-1036.9320192337036
101,-861.6411485671997
102,-1132.791075706482
103,-931.1426544189453
104,-938.7112607955933
105,-950.222496509552
106,-981.8845062255859
107,-371.0762172937393
108,-985.3757472038269
109,-1185.5513463020325
110,-1118.9836292266846
111,-952.1488428115845
112,-587.6905343532562
113,-635.8895621299744
114,-486.54209542274475
115,-680.3994424343109
116,-857.4381730556488
117,-744.7235879898071
118,-581.7182631492615
119,-1092.7075638771057
120,-366.67254662513733
121,-1102.750099182129
122,-670.8580577373505
123,-1024.7934679985046
124,-753.1484985351562
125,-687.6010336875916
126,-1169.9889764785767
127,-1252.6606316566467
128,-387.69620966911316
129,-473.8095129728317
130,-867.1267275810242
131,-863.1506199836731
132,-466.77321219444275
133,-821.7075231075287
134,-961.7827610969543
135,-777.5988147258759
136,-854.3791770935059
137,-838.8984084129333
138,-1436.6784601211548
139,-1105.1579403877258
140,-1115.0479769706726
141,-898.4870758056641
142,-992.6259708404541
143,-861.8249611854553
144,-885.7040195465088
145,-787.2430708408356
146,-943.0127258300781
147,-1303.5696177482605
148,-1057.9548482894897
149,-1442.648277759552
150,-480.2965154647827
151,-992.7243661880493
152,-596.0342233181
153,-548.6985006332397
154,-929.5740447044373
155,-1145.2165575027466
156,-505.9961414337158
157,-729.2256894111633
