episode_in_level,episode_global,reward
1,151,243.65614759922028
2,152,268.15674125542864
3,153,242.3357371687889
4,154,240.71614049747586
5,155,264.6118983030319
6,156,236.09979839622974
7,157,253.28717023134232
8,158,232.43458562716842
9,159,273.23404416255653
10,160,259.3823609352112
11,161,232.0745524764061
12,162,282.771989043802
13,163,246.36828250437975
14,164,241.21690809726715
15,165,232.78532087802887
16,166,250.69715896993876
17,167,229.71352863311768
18,168,248.17474610731006
19,169,232.34299647435546
20,170,277.9201165214181
21,171,237.2020077854395
22,172,273.2002177089453
23,173,245.08332486264408
24,174,237.69093132391572
25,175,235.8964492250234
26,176,257.0004608668387
27,177,261.88581747189164
28,178,-93.33070089342073
29,179,231.75902818050236
30,180,251.52998362481594
31,181,255.04063803702593
32,182,239.63151955604553
33,183,253.88070380687714
34,184,255.4261939972639
35,185,267.15904132276773
36,186,255.21934521198273
37,187,248.20117205381393
38,188,241.49732792377472
39,189,263.5386614203453
40,190,248.08359414339066
41,191,232.56042313575745
42,192,246.8744922876358
43,193,251.86857452988625
44,194,222.31354266405106
45,195,244.904664427042
46,196,226.08473825454712
47,197,250.81764566898346
48,198,245.7652965299785
49,199,238.13949757814407
50,200,242.692022126168
51,201,247.51411390304565
52,202,240.38163681328297
53,203,249.32396894693375
54,204,260.6488496661186
55,205,260.3127115815878
56,206,250.39450392872095
57,207,260.97529941797256
58,208,245.44073936343193
59,209,232.55032110214233
60,210,278.00599655508995
61,211,232.64327219873667
62,212,248.6117875399068
63,213,242.99953040853143
64,214,236.38011302053928
65,215,255.66220617294312
66,216,227.55443745851517
67,217,241.46657347679138
68,218,247.54142171144485
69,219,235.62996941804886
70,220,259.71286202967167
71,221,245.2105111181736
72,222,245.80569180846214
73,223,238.28607527911663
74,224,237.9807389974594
75,225,230.51003629341722
76,226,232.83080941438675
77,227,252.78133905678988
78,228,249.95487986505032
79,229,241.71488279104233
80,230,269.4235009215772
81,231,228.5458482503891
82,232,249.98330216482282
83,233,235.32028913497925
84,234,239.18150250054896
85,235,235.87944950163364
86,236,232.49069702625275
87,237,242.98397141695023
88,238,256.92204179242253
89,239,263.8955032750964
90,240,256.4906561970711
91,241,239.42191922664642
92,242,242.67408730089664
93,243,228.12547463178635
94,244,230.68712425231934
95,245,236.84852127591148
96,246,243.047922372818
97,247,264.24090208433336
98,248,251.26867926120758
99,249,282.20619881153107
100,250,245.01329530775547
101,251,252.70930862426758
102,252,263.22171635646373
103,253,233.53331059403718
104,254,266.08413565158844
105,255,240.0201040506363
106,256,233.47035392280668
107,257,258.84402763843536
108,258,241.4749357700348
109,259,236.66524360515177
110,260,248.14218355342746
111,261,247.13863456249237
112,262,231.98153576161712
113,263,279.5756730437279
114,264,244.9852705001831
115,265,246.3110749721527
116,266,229.5317850112915
117,267,240.61586207151413
118,268,246.10846251249313
119,269,252.49424296617508
120,270,236.6605380475521
121,271,249.17624139785767
122,272,264.7851799726486
123,273,233.30933088064194
124,274,255.70397000014782
125,275,250.61556828022003
126,276,254.4416891336441
127,277,224.02761006355286
128,278,231.25745451450348
129,279,239.40725326538086
130,280,238.90820369124413
131,281,259.51795042306185
132,282,275.08804497122765
133,283,249.2322008162737
134,284,245.59227021038532
135,285,255.73681309819221
136,286,252.78053736686707
137,287,257.5817832350731
138,288,242.31871690787375
139,289,260.952760219574
140,290,244.63677155971527
141,291,248.90917539596558
142,292,238.58101013302803
143,293,228.72345723956823
144,294,256.80762672424316
145,295,231.98276734352112
146,296,263.04342755675316
147,297,225.2056885957718
148,298,249.61059761047363
149,299,261.32561433315277
150,300,253.43049943447113
