episode_in_level,episode_global,reward
1,751,1187.2409803196788
2,752,1194.341481424868
3,753,2115.3287927359343
4,754,1611.5731609165668
5,755,1541.093581840396
6,756,1189.0405190195888
7,757,1277.5528114773333
8,758,2415.048452364281
9,759,1121.166958078742
10,760,1924.3433824181557
11,761,809.4876140803099
12,762,1096.1816830711323
13,763,1058.9858429059386
14,764,1836.6824650242925
15,765,-152.46088325977325
16,766,1210.0041272174567
17,767,2235.7853720486164
18,768,6008.494946829975
19,769,1308.9488698728383
20,770,834.3453556001186
21,771,1509.9462572932243
22,772,6106.836643276736
23,773,2103.5956312716007
24,774,1187.6375321531668
25,775,1799.8161887871101
26,776,2169.773237919435
27,777,2080.096210324671
28,778,2237.1416090046987
29,779,1832.4918792843819
30,780,989.2891806662083
31,781,1160.2056033164263
32,782,3565.300807058811
33,783,3207.2500923678745
34,784,858.6557969339192
35,785,2324.75830078125
36,786,117.74521860294044
37,787,4052.819244593382
38,788,2055.1242420971394
39,789,1998.701920652762
40,790,1171.1531827151775
41,791,2892.753141760826
42,792,1392.2475969046354
43,793,1435.4950153045356
44,794,802.5943890350318
45,795,1070.2544116973877
46,796,1793.6838442534208
47,797,1887.0373876502272
48,798,1027.3610181808472
49,799,1106.4010263457894
50,800,2662.890157058835
