episode_in_level,episode_global,reward
1,1,203.01877790689468
2,2,-219.12321672274265
3,3,198.34527871012688
4,4,199.74610859155655
5,5,198.9004458785057
6,6,90.21343116144999
7,7,120.47940131369978
8,8,198.73452603816986
9,9,198.2573745250702
10,10,195.54199761897326
11,11,202.98684495687485
12,12,196.02488863910548
13,13,-207.7464696825482
14,14,205.7527552843094
15,15,202.38998168706894
16,16,196.29699476063251
17,17,197.3583424091339
18,18,199.1675756452605
19,19,197.94726890325546
20,20,199.64109098911285
21,21,197.17284759879112
22,22,198.29907143115997
23,23,196.5207089255564
24,24,203.60399115085602
25,25,200.59710793569684
26,26,197.51990240812302
27,27,196.88400089740753
28,28,197.68443977832794
29,29,197.39034402370453
30,30,199.13820680975914
31,31,200.28224413469434
32,32,198.20228773355484
33,33,195.9266014751047
34,34,199.2102460647002
35,35,198.94217212637886
36,36,201.3335956633091
37,37,200.32570002041757
38,38,199.0202890485525
39,39,200.4210078716278
40,40,200.1148888003081
41,41,200.48242782056332
42,42,200.467390447855
43,43,205.07158756256104
44,44,207.6822772026062
45,45,149.38120712013915
46,46,199.96244575455785
47,47,202.4197296500206
48,48,205.8753581047058
49,49,199.65743651613593
50,50,201.5212733373046
