episode,reward
1,-49.77761362493038
2,-89.75999309122562
3,-50.175838470458984
4,-50.175289154052734
5,-50.15191650390625
6,-55.89002517610788
7,-50.17083740234375
8,-50.20015335083008
9,-50.1533317565918
10,-50.158851623535156
11,-50.16813278198242
12,-50.14906311035156
13,-50.190147399902344
14,-50.14836502075195
15,-50.99149867147207
16,-52.63379395753145
17,-51.51887837052345
18,-51.7922954633832
19,-53.85541911423206
20,-53.708845503628254
21,-48.26350124925375
22,-51.06746404618025
23,-57.976494535803795
24,-54.99040186405182
25,-53.86078408360481
26,-50.19346237182617
27,-50.15567398071289
28,-50.20176315307617
29,-50.20751190185547
30,-90.80138454586267
31,-50.1510009765625
32,-50.16446304321289
33,-50.15317153930664
34,-50.17390441894531
35,-50.14405059814453
36,-50.138710021972656
37,-50.215538024902344
38,-50.16998291015625
39,-50.1534309387207
40,-50.1510124206543
41,-50.205692291259766
42,-93.93468087166548
43,-50.18722915649414
44,-50.20547866821289
45,-50.20631790161133
46,-50.138885498046875
47,-50.195701599121094
48,-50.122581481933594
49,-50.15578079223633
50,-50.18378448486328
51,-50.157840728759766
52,-50.18867492675781
53,-50.179561614990234
54,-50.15917205810547
55,-50.16861343383789
56,-50.162166595458984
57,-50.20417404174805
58,-50.12405776977539
59,-50.15061569213867
60,-50.172183990478516
61,-50.13130187988281
62,-50.15162658691406
63,-50.1710090637207
64,-50.14971923828125
65,-50.176307678222656
66,-50.17752456665039
67,-50.17053985595703
68,-50.18028259277344
69,-50.16598129272461
70,-50.15229034423828
71,-50.17927932739258
72,-50.17247009277344
73,-50.14190673828125
74,-50.17591094970703
75,-50.138248443603516
76,-50.17864990234375
77,-50.13733673095703
78,-50.17635726928711
79,-50.1630859375
80,-50.15959548950195
81,-50.17787170410156
82,-87.17900267988443
83,-50.16465759277344
84,-50.194725036621094
85,-50.18052673339844
86,-50.13311767578125
87,-50.19138717651367
88,-50.15129089355469
89,-50.20219039916992
90,-50.143245697021484
91,-50.205322265625
92,-50.13141632080078
93,-50.13253402709961
94,-50.17279815673828
95,-50.166221618652344
96,-50.17277526855469
97,-50.182777404785156
98,-50.18528747558594
99,-50.17742919921875
100,-50.151676177978516
101,-50.13316345214844
102,-50.15165710449219
103,-50.19180679321289
104,-52.43194571137428
105,-53.01037758588791
106,-77.35834257304668
107,-50.18308639526367
108,-50.18763732910156
109,-50.14445877075195
110,-50.17723083496094
111,-50.17491149902344
112,-50.178955078125
113,-50.180850982666016
114,-50.20246505737305
115,-50.130340576171875
116,-50.1260871887207
117,-50.16567611694336
118,-50.20389938354492
119,-50.177303314208984
120,-50.20124053955078
121,-50.17913818359375
122,-50.182472229003906
123,-50.207149505615234
124,-50.188968658447266
125,-50.171142578125
126,-50.21152114868164
127,-50.177154541015625
128,-50.16613006591797
129,-50.211299896240234
130,-50.181732177734375
131,-50.183441162109375
132,-50.18231201171875
133,-52.72198010236025
134,-57.99846816062927
135,-52.53174781054258
136,-56.931543834507465
137,-52.43408717960119
138,-55.83850296586752
139,-87.50258818268776
140,-50.181705474853516
141,-50.1690673828125
142,-50.14991760253906
143,-50.18418502807617
144,-50.15488052368164
145,-50.165809631347656
146,-50.1856803894043
147,-50.1727294921875
148,-50.1475944519043
149,-50.12434005737305
150,-50.1473388671875
151,-50.160091400146484
152,-50.16948699951172
153,-50.179046630859375
154,-50.17851257324219
155,-52.452564388513565
156,-52.6906258687377
157,-50.9599434286356
158,-50.67649259418249
159,-49.836501859128475
160,-49.881249099969864
161,-49.63838571310043
162,-49.46328829973936
163,-49.44474385678768
164,-49.4716337248683
165,-49.601355731487274
166,-48.91431103646755
167,-48.41785649955273
168,-47.687338158488274
169,-48.159500166773796
170,-47.45475096255541
171,-47.07982263714075
172,-47.2131672501564
173,-47.692611157894135
174,-46.98898036032915
175,-46.4348161816597
176,-47.056105725467205
177,-46.170068219304085
178,-45.794039614498615
179,-45.83169086277485
180,-45.728316612541676
181,-45.63570732623339
182,-45.37635359168053
183,-45.5435618981719
184,-45.61813768744469
185,-45.66670627146959
186,-44.7020697593689
187,-44.43996565043926
188,-45.11041338741779
189,-45.132284283638
190,-44.927547849714756
191,-43.52591508626938
192,-43.94447088241577
193,-43.70397448539734
194,-43.65867553651333
195,-43.69933395832777
196,-43.684970282018185
197,-43.15204022824764
198,-43.90106547623873
199,-42.93101244419813
200,-43.11313799023628
201,-42.56490582227707
202,-42.70650725066662
203,-42.628094747662544
204,-42.51750527322292
205,-42.10843068361282
206,-42.64143770188093
207,-42.594568222761154
208,-42.1270137950778
209,-41.36429267376661
210,-41.611760556697845
211,-42.08536597341299
212,-41.85560933500528
213,-41.06930223852396
214,-41.38847156614065
215,-40.670408718287945
216,-41.14534938335419
217,-40.53175497800112
218,-40.73998183757067
219,-40.20496065169573
220,-41.05639989674091
221,-40.24436578154564
222,-41.111405581235886
223,-40.104639418423176
224,-40.412819027900696
225,-40.075547739863396
226,-40.40292690694332
227,-39.87110176682472
228,-40.11708513647318
229,-39.78421804308891
230,-39.693139746785164
231,-39.27595564723015
232,-39.30999159067869
233,-39.200484573841095
234,-39.28974072635174
235,-39.34028209000826
236,-38.88943796604872
237,-39.658166237175465
238,-38.75678627938032
239,-38.91250964999199
240,-39.06559231132269
241,-38.348772302269936
242,-38.30666883289814
243,-38.591084741055965
244,-38.60620352625847
245,-37.987436920404434
246,-38.3373498916626
247,-38.848166190087795
248,-38.23601920902729
249,-38.10535001009703
250,-38.03481226414442
251,-38.00221459567547
252,-37.52965838462114
253,-37.68829257041216
254,-37.748382925987244
255,-37.6950968131423
256,-37.392544470727444
257,-37.369762405753136
258,-37.302229046821594
259,-37.16470182687044
260,-37.31061828881502
261,-37.36219023168087
262,-37.177116356790066
263,-37.44171380996704
264,-36.886634811758995
265,-36.84590561687946
266,-36.60678657889366
267,-36.99326141178608
268,-36.7733608558774
269,-36.52351836115122
270,-36.570585772395134
271,-36.566067576408386
272,-36.35567497462034
273,-36.405606620013714
274,-36.19736084342003
275,-35.92742471396923
276,-36.55725435167551
277,-36.369405418634415
278,-36.02436866611242
279,-35.911456763744354
280,-36.15985984355211
281,-36.11738309264183
282,-35.952162109315395
283,-35.7531843110919
284,-35.80459754914045
285,-35.816967740654945
286,-35.717942237854004
287,-35.45987854897976
288,-35.4939022064209
289,-35.60651262104511
290,-35.65681906789541
291,-35.493031695485115
292,-35.21660227328539
293,-35.24362948536873
294,-35.262445509433746
295,-35.237223356962204
296,-35.21174880862236
297,-35.29747101664543
298,-35.22004917263985
299,-35.00949504226446
300,-35.10595631599426
301,-34.97267592698336
302,-34.818077981472015
303,-35.05200843513012
304,-34.76556900143623
305,-34.69121756404638
306,-34.67353508621454
307,-34.767807975411415
308,-34.59247047454119
309,-34.639387875795364
310,-34.497165352106094
311,-34.611286237835884
312,-34.675986774265766
313,-34.44847924262285
314,-34.43213952332735
315,-34.38899536430836
316,-34.522581696510315
317,-34.450943529605865
318,-34.33682195842266
319,-34.151108272373676
320,-34.20298683643341
321,-34.24499745666981
322,-34.047151274979115
323,-33.98161619901657
324,-34.000090196728706
325,-34.10422733426094
326,-34.07158870249987
327,-33.94097416102886
328,-33.93979050219059
329,-33.844888247549534
330,-33.85733964294195
331,-33.7315581291914
332,-33.675155468285084
333,-33.80787664651871
334,-33.702720277011395
335,-33.6068140566349
336,-33.58803863823414
337,-33.73185238242149
338,-33.56992872059345
339,-33.67130026221275
340,-33.46446882933378
341,-33.44767605513334
342,-33.43012636899948
343,-33.33433545380831
